place,grav,sexe,trajet,secu1,secu2,lum,agg,int,atm,col,lat,long,catr,circ,nbv,vosp,prof,plan,surf,infra,situ,vma,senc,catv,obs,obsm,choc,manv,motor,Hour,DayOfWeek,Month,Age
1,1,1,0,1,0,5,2,1,1,1,48.65711,2.33919,3,2,4,0,1,1,2,0,1,50,2,7,0,2,2,15,1,6,4,12,26.0
1,4,1,0,2,0,5,2,1,1,1,48.65711,2.33919,3,2,4,0,1,1,2,0,1,50,2,33,0,2,1,1,1,6,4,12,60.0
1,4,2,5,1,0,5,2,1,2,2,48.832615,2.4059,4,1,4,0,1,1,2,0,1,70,1,7,0,2,6,23,1,2,3,12,41.0
1,1,2,5,1,0,1,2,3,1,3,48.847565,2.322783,4,1,1,2,1,1,1,0,1,30,1,7,1,2,3,1,2,13,4,12,57.0
1,3,2,9,2,0,1,2,3,1,3,48.847565,2.322783,4,1,1,2,1,1,1,0,1,30,1,50,0,2,1,13,3,13,4,12,57.0
1,1,1,9,1,0,5,2,2,8,3,48.894305,2.313769,4,3,3,0,1,1,2,0,1,30,1,7,0,2,3,1,1,0,4,12,21.0
1,3,1,9,2,0,5,2,2,8,3,48.894305,2.313769,4,3,3,0,1,1,2,0,1,30,1,30,0,2,1,1,1,0,4,12,27.0
1,4,1,9,8,0,1,2,2,1,3,48.898194,2.386009,4,1,3,1,1,1,1,0,1,30,2,1,0,2,1,1,5,10,4,12,46.0
1,4,1,9,2,6,5,2,4,1,2,48.865873,2.268159,4,1,3,0,1,1,1,0,1,70,1,32,0,2,8,12,1,18,4,12,28.0
1,1,2,5,1,0,5,2,4,1,2,48.865873,2.268159,4,1,3,0,1,1,1,0,1,70,1,7,0,2,5,1,1,18,4,12,47.0
1,4,1,9,2,8,5,2,3,1,4,48.822784,2.358334,4,2,4,1,1,1,1,0,1,30,1,30,0,2,1,1,1,20,4,12,24.0
1,4,1,4,2,6,5,2,3,1,4,48.822784,2.358334,4,2,4,1,1,1,1,0,1,30,1,30,0,2,4,15,1,20,4,12,34.0
1,1,1,4,2,6,5,2,3,1,4,48.822784,2.358334,4,2,4,1,1,1,1,0,1,30,1,30,0,2,1,1,3,20,4,12,20.0
1,4,2,5,8,0,5,2,5,1,7,48.873136,2.297115,4,2,4,1,3,1,2,0,1,50,1,30,0,2,7,16,3,3,4,12,37.0
1,4,1,9,2,6,1,2,2,1,3,48.847148,2.307338,4,3,4,0,1,1,1,0,1,30,2,30,0,2,1,1,1,8,4,12,32.0
1,1,1,9,1,0,1,2,2,1,3,48.847148,2.307338,4,3,4,0,1,1,1,0,1,30,2,7,0,2,6,10,1,8,4,12,50.0
1,1,1,3,1,0,5,2,1,1,6,48.79442,2.41704,3,2,0,0,1,1,1,9,1,50,2,7,0,1,0,19,1,18,4,12,31.0
1,4,2,0,1,8,1,2,1,1,2,48.80478,2.48546,3,2,0,0,2,1,1,0,1,30,2,7,0,2,1,1,1,8,4,12,22.0
1,4,2,9,1,0,1,2,1,1,2,48.80478,2.48546,3,2,0,0,2,1,1,0,1,30,2,7,0,2,4,23,1,8,4,12,49.0
1,4,1,5,1,0,1,2,1,1,6,48.81827,2.37006,4,1,1,1,1,1,1,0,3,50,1,7,1,0,1,1,1,12,4,12,32.0
1,4,1,1,2,0,1,2,9,2,1,48.80015,2.45581,4,2,2,0,1,1,2,0,1,50,2,32,0,2,3,13,1,10,2,12,30.0
1,1,1,5,1,8,1,2,9,2,1,48.80015,2.45581,4,2,2,0,1,1,2,0,1,50,1,7,0,2,3,1,1,10,2,12,52.0
1,4,1,9,2,0,1,2,2,1,3,48.94055,2.37182,3,2,2,0,1,1,1,0,1,50,2,34,0,2,7,16,1,10,4,12,47.0
1,1,1,9,2,0,2,2,1,1,6,48.92632,2.38484,3,2,2,0,1,1,1,0,1,50,-1,32,0,0,1,17,0,16,4,12,20.0
1,4,1,5,1,0,5,2,2,8,3,48.920123431,2.5392873347,3,2,4,0,1,1,2,5,1,50,2,7,0,2,3,15,1,6,4,12,60.0
1,4,1,1,1,0,5,2,2,8,3,48.920123431,2.5392873347,3,2,4,0,1,1,2,5,1,50,1,7,8,2,8,1,1,6,4,12,31.0
1,1,2,0,1,0,1,2,1,1,3,48.91298,2.40216,3,-1,1,3,1,1,1,0,1,50,2,7,0,2,5,16,1,14,4,12,33.0
1,4,1,0,2,6,1,2,1,1,3,48.91298,2.40216,3,-1,1,3,1,1,1,0,1,50,2,2,0,2,1,2,1,14,4,12,30.0
1,1,1,0,1,0,4,2,1,1,6,48.909507003,2.3863720433,3,2,4,3,1,1,1,0,1,50,1,7,0,1,2,1,1,0,4,12,24.0
1,1,1,4,1,0,1,2,3,1,3,48.8937240776,2.277764082,4,1,1,0,1,1,1,0,1,50,1,10,0,2,3,16,1,13,4,12,35.0
1,3,1,4,2,6,1,2,3,1,3,48.8937240776,2.277764082,4,1,1,0,1,1,1,0,1,50,1,32,0,2,1,1,1,13,4,12,46.0
1,1,1,4,1,0,1,2,2,1,3,48.90854,2.30014,3,2,5,0,1,1,1,2,1,50,1,10,0,2,2,15,1,10,4,12,19.0
1,4,1,4,2,6,1,2,2,1,3,48.90854,2.30014,3,2,5,0,1,1,1,2,1,50,2,2,0,2,3,1,1,10,4,12,26.0
1,4,1,5,8,-1,1,2,1,1,6,49.047728,2.452247,4,2,2,0,1,3,1,0,1,-1,3,7,6,0,1,15,2,14,4,12,45.0
1,4,1,5,1,0,3,1,1,1,7,48.631785,2.51925,2,1,4,0,1,1,1,0,1,90,2,7,3,0,1,1,1,17,4,12,49.0
1,1,1,0,1,4,1,1,1,1,2,48.68883,2.32484,1,1,3,0,1,1,1,0,1,90,2,7,0,2,4,2,1,12,4,12,69.0
1,4,2,0,1,4,1,1,1,1,2,48.68883,2.32484,1,1,3,0,1,1,1,0,1,90,2,7,0,2,1,14,1,12,4,12,76.0
1,1,1,0,1,0,3,1,1,1,2,48.6231372075,2.5429465165,1,3,8,0,1,1,1,0,1,90,1,7,0,2,1,2,1,0,4,12,39.0
1,4,1,0,1,0,3,1,1,1,2,48.6231372075,2.5429465165,1,3,8,0,1,1,1,0,1,90,1,7,0,2,4,2,1,0,4,12,30.0
1,1,1,5,1,5,3,1,1,1,3,48.68429,2.32836,1,1,8,0,1,1,2,0,2,110,1,7,0,2,2,14,1,1,4,12,22.0
